idEntidade;idEmpenho;data;valorEmpenhadoBruto;valorLiquidadoBruto;numNaturezaEmp;organograma
177;21827382;30/12/2024;37.39;37.39;31901101000000;2012
2857;16515466;24/04/2024;1000.0;5.75;33903981000000;5001
2857;16513516;24/04/2024;6750.0;0.0;33903036000000;5001
2857;16513507;24/04/2024;1881.0;1881.0;33903036000000;5001
2856;16647607;24/04/2024;100.3;100.3;33903014000000;4001
2858;16647442;24/04/2024;8376.0;6282.0;33904001000000;6001
2855;16646375;24/04/2024;126.0;126.0;33903022000000;3001
2855;16646346;24/04/2024;126.0;126.0;33903022000000;3001
2855;16646286;24/04/2024;1156.68;1156.68;33903022000000;3001
2855;16646236;24/04/2024;130.98;130.98;33903022000000;3001
2855;16646221;24/04/2024;156.0;156.0;33903022000000;3001
2855;16646110;24/04/2024;159.6;159.6;33903022000000;3001
2855;16646089;24/04/2024;130.65;130.65;33903022000000;3001
2855;16646073;24/04/2024;202.5;202.5;33903022000000;3001
2855;16646047;24/04/2024;1093.68;1093.68;33903022000000;3001
2855;16646036;24/04/2024;1247.4;1247.4;33903022000000;3001
2855;16514519;24/04/2024;800.0;800.0;33903007000000;3001
2855;16514488;24/04/2024;173.88;173.88;33903007000000;3001
2855;16514459;24/04/2024;154.05;154.05;33903007000000;3001
2855;16512621;24/04/2024;266.4;266.4;33903022000000;3001
2855;16512605;24/04/2024;796.5;796.5;33903022000000;3001
2855;16512593;24/04/2024;380.85;380.85;33903007000000;3001
2855;16512586;24/04/2024;377.6;377.6;33903007000000;3001
2855;16512571;24/04/2024;723.55;723.55;33903007000000;3001
2855;16512565;24/04/2024;888.4;888.4;33903007000000;3001
2861;16647492;24/04/2024;303.8;303.8;33903022000000;9001
177;16514334;23/04/2024;30000.0;30000.0;33903981000000;2009
177;16507455;23/04/2024;61.22;61.22;33901414000000;2007
177;16507379;23/04/2024;61.22;61.22;33901414000000;2007
177;16507316;23/04/2024;2571.28;2571.28;33901414000000;2018
177;16500575;23/04/2024;19573.87;19573.87;33903966000000;2016
2857;16514102;24/04/2024;856.7;856.7;33903009000000;5001
2857;16526385;24/04/2024;1094.73;1094.73;33903966000000;5001
2861;16647724;25/04/2024;22703.36;22703.36;31911303000000;9001
2857;16526394;24/04/2024;109.47;109.47;33903966000000;5001
2861;16647617;25/04/2024;658.69;658.69;33901899000000;9001
2861;16647606;25/04/2024;5738.1;5738.1;33904601000000;9001
2861;16647585;25/04/2024;13310.97;13310.97;31901175000000;9001
2861;16647567;25/04/2024;112160.14;112160.14;31901101000000;9001
2861;16647554;25/04/2024;24185.47;24185.47;31901101000000;9001
2859;16669222;25/04/2024;100000.0;100000.0;33504399000000;7001
177;16638913;24/04/2024;122.44;122.44;33901414000000;2020
177;16638910;24/04/2024;122.44;122.44;33901414000000;2020
177;16638907;24/04/2024;122.44;122.44;33901414000000;2020
177;16526379;24/04/2024;3300.0;3300.0;33903016000000;2008
177;16526373;24/04/2024;224.5;224.5;33903007000000;2008
177;16526354;24/04/2024;4200.0;4200.0;33903022000000;2012
177;16526326;24/04/2024;2255.82;2255.82;33903007000000;2011
177;16526313;24/04/2024;192.74;192.74;33903007000000;2011
177;16513150;24/04/2024;73221.8;72185.89;33903999000000;2016
177;16487545;24/04/2024;111.0;0.0;33904099000000;2005
